0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:38 +0700] "GET /Web/FilterServlet?category=2&page=2 HTTP/1.1" 200 4826
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:38 +0700] "GET /Web/js/jquery-1.11.1.min.js?_=1736742748839 HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:38 +0700] "GET /Web/js/megamenu.js?_=1736742748840 HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:38 +0700] "GET /Web/js/jquery.easydropdown.js?_=1736742748841 HTTP/1.1" 200 12483
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:38 +0700] "GET /Web/js/simpleCart.min.js?_=1736742748842 HTTP/1.1" 200 30424
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:59 +0700] "GET /Web/FilterServlet?category=2&page=2 HTTP/1.1" 200 4826
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:59 +0700] "GET /Web/js/jquery-1.11.1.min.js?_=1736742758746 HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:59 +0700] "GET /Web/js/megamenu.js?_=1736742758747 HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:59 +0700] "GET /Web/js/jquery.easydropdown.js?_=1736742758748 HTTP/1.1" 200 12483
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:32:59 +0700] "GET /Web/js/simpleCart.min.js?_=1736742758749 HTTP/1.1" 200 30424
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:33:01 +0700] "GET /Web/brands.jsp HTTP/1.1" 200 12083
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:33:01 +0700] "GET /Web/index.jsp HTTP/1.1" 200 14131
0:0:0:0:0:0:0:1 - - [13/Jan/2025:11:33:03 +0700] "GET /Web/men.jsp HTTP/1.1" 200 15833
